Case,Activity,Timestamp,Resource,label,original_activity,isdistorted,BaseActivity,ProcessedActivity,canonical_activity,is_distorted,y_true,Activity_fixed
1002,notQify reject,2023-11-28 06:55:51.615,Manager-000001,distorted label(Insert),notQify reject,0,notQify reject,notqify reject,notify reject,1,1,notify reject
1010,new online application received,2023-11-28 14:39:05.514,,distorted label(UpLow),new online application received,0,new online application received,new online application received,New online application received,1,1,New online application received
1010,Perfor mchecks,2023-11-28 17:15:09.507,Clerk-000005,distorted label(Interchange),Perfor mchecks,0,Perfor mchecks,perfor mchecks,Perform checks,1,1,Perform checks
1015,review request recevied,2023-11-28 20:04:36.439,,distorted label(Interchange),review request recevied,0,review request recevied,review request recevied,review request received,1,1,review request received
1015,Info received,2023-11-28 20:22:44.895,,distorted label(UpLow),Info received,0,Info received,info received,info received,1,1,info received
1029,Requset info,2023-11-29 07:17:42.075,Manager-000006,distorted label(Interchange),Requset info,0,Requset info,requset info,Request info,1,1,Request info
1032,Perfor checks,2023-11-29 11:25:46.395,Clerk-000005,distorted label(Skip),Perfor checks,0,Perfor checks,perfor checks,Perform checks,1,1,Perform checks
1037,Requesft info,2023-11-29 13:39:17.731,Manager-000002,distorted label(Insert),Requesft info,0,Requesft info,requesft info,Request info,1,1,Request info
1037,infwo received,2023-11-29 13:42:17.217,,distorted label(Insert),infwo received,0,infwo received,infwo received,info received,1,1,info received
1045,Check for copmleteness,2023-11-29 20:13:23.490,Clerk-000006,distorted label(Interchange),Check for copmleteness,0,Check for copmleteness,check for copmleteness,Check for completeness,1,1,Check for completeness
1046,perform checks,2023-11-29 20:20:32.292,Clerk-000003,distorted label(UpLow),perform checks,0,perform checks,perform checks,Perform checks,1,1,Perform checks
1049,New online application rceived,2023-11-30 02:01:44.480,,distorted label(Skip),New online application rceived,0,New online application rceived,new online application rceived,New online application received,1,1,New online application received
105,New online applicatiZon received,2023-10-04 23:12:10.570,,distorted label(Insert),New online applicatiZon received,0,New online applicatiZon received,new online applicatizon received,New online application received,1,1,New online application received
1059,Mae decision,2023-11-30 16:55:03.408,Manager-000004,distorted label(Skip),Mae decision,0,Mae decision,mae decision,Make decision,1,1,Make decision
1061,EVWNT 13 END,2023-11-30 18:04:45.401,,distorted label(Proximity),EVWNT 13 END,0,EVWNT 13 END,evwnt 13 end,EVENT 13 END,1,1,EVENT 13 END
1064,New online application receivdd,2023-11-30 19:30:58.531,,distorted label(Proximity),New online application receivdd,0,New online application receivdd,new online application receivdd,New online application received,1,1,New online application received
1064,Delievr card,2023-11-30 20:13:33.969,Manager-000005,distorted label(Interchange),Delievr card,0,Delievr card,delievr card,Delievr card,0,1,Delievr card
1066,request info,2023-11-30 20:23:47.530,Manager-000006,distorted label(UpLow),request info,0,request info,request info,Request info,1,1,Request info
1066,eVENT 13 END,2023-11-30 21:53:44.422,,distorted label(UpLow),eVENT 13 END,0,eVENT 13 END,event 13 end,EVENT 13 END,1,1,EVENT 13 END
1073,info recFeived,2023-12-01 05:03:53.350,,distorted label(Insert),info recFeived,0,info recFeived,info recfeived,info received,1,1,info received
1075,Perform cbecks,2023-12-01 03:56:33.498,Clerk-000004,distorted label(Proximity),Perform cbecks,0,Perform cbecks,perform cbecks,Perform checks,1,1,Perform checks
108,Info received,2023-10-05 00:33:18.412,,distorted label(UpLow),Info received,0,Info received,info received,info received,1,1,info received
1080,Check for compZleteness,2023-12-01 08:01:19.974,Clerk-000001,distorted label(Insert),Check for compZleteness,0,Check for compZleteness,check for compzleteness,Check for completeness,1,1,Check for completeness
109,review reqest received,2023-10-05 00:13:46.626,,distorted label(Skip),review reqest received,0,review reqest received,review reqest received,review request received,1,1,review request received
1099,Perform checs,2023-12-04 01:16:19.566,Clerk-000004,distorted label(Skip),Perform checs,0,Perform checs,perform checs,Perform checks,1,1,Perform checks
1101,EVEJT 13 END,2023-12-04 01:06:19.315,,distorted label(Proximity),EVEJT 13 END,0,EVEJT 13 END,evejt 13 end,EVENT 13 END,1,1,EVENT 13 END
111,Check for ocmpleteness,2023-10-05 01:02:25.994,Clerk-000006,distorted label(Interchange),Check for ocmpleteness,0,Check for ocmpleteness,check for ocmpleteness,Check for completeness,1,1,Check for completeness
111,Perforh checks,2023-10-05 02:18:26.292,Clerk-000006,distorted label(Proximity),Perforh checks,0,Perforh checks,perforh checks,Perform checks,1,1,Perform checks
1117,Make decisio,2023-12-04 09:02:02.151,Manager-000005,distorted label(Skip),Make decisio,0,Make decisio,make decisio,Make decision,1,1,Make decision
1119,Request inf,2023-12-04 10:11:34.508,Manager-000002,distorted label(Skip),Request inf,0,Request inf,request inf,Request info,1,1,Request info
1123,Time out,2023-12-04 14:30:25.125,,distorted label(UpLow),Time out,0,Time out,time out,time out,1,1,time out
1131,Dieliver card,2023-12-04 20:15:11.440,Manager-000005,distorted label(Insert),Dieliver card,0,Dieliver card,dieliver card,Deliver card,1,1,Deliver card
114,Perform check,2023-10-05 03:11:27.154,Clerk-000001,distorted label(Skip),Perform check,0,Perform check,perform check,Perform checks,1,1,Perform checks
114,EVENT 13 EDN,2023-10-05 03:51:09.279,,distorted label(Interchange),EVENT 13 EDN,0,EVENT 13 EDN,event 13 edn,EVENT 13 END,1,1,EVENT 13 END
1153,New online applicztion received,2023-12-05 20:26:18.081,,distorted label(Proximity),New online applicztion received,0,New online applicztion received,new online applicztion received,New online application received,1,1,New online application received
1153,Info received,2023-12-05 21:28:27.748,,distorted label(UpLow),Info received,0,Info received,info received,info received,1,1,info received
1153,Requwst info,2023-12-05 21:36:15.454,Manager-000003,distorted label(Proximity),Requwst info,0,Requwst info,requwst info,Requwst info,0,1,Requwst info
